,CollgCr,Veenker,Crawfor,NoRidge,Mitchel,Somerst,NWAmes,OldTown,BrkSide,Sawyer,NridgHt,NAmes,SawyerW,IDOTRR,MeadowV,Edwards,Timber,Gilbert,StoneBr,ClearCr,NPkVill,Blmngtn,BrDale,SWISU
43,LotConfig_CulDSac,,GarageType,LotShape,GarageCars,BldgType_Twnhs,YrSold,HouseStyle_1.5Unf,BsmtFinType1,BsmtFinType2,HouseStyle_2Story,Exterior2nd_HdBoard,BsmtFullBath,WoodDeckSF,,HouseStyle_SLvl,MSSubClass,RoofStyle_Hip,Exterior2nd_Wd Shng,YearBuilt,,,,GarageArea
44,Exterior1st_VinylSd,,HouseStyle_2.5Unf,Exterior1st_VinylSd,Exterior2nd_HdBoard,LowQualFinSF,Exterior2nd_MetalSd,Alley,ExterCond,Foundation_PConc,Exterior2nd_MetalSd,WoodDeckSF,SaleType_WD,BsmtFullBath,,RoofMatl_CompShg,GarageFinish,Exterior2nd_Wd Sdng,YearBuilt,,,,,MasVnrArea
45,Exterior2nd_MetalSd,,SaleCondition,,Exterior2nd_ImStucc,LotConfig_CulDSac,LotFrontage,LotShape,Exterior2nd_Wd Shng,HalfBath,,BldgType_Duplex,Foundation_PConc,BsmtExposure,,Exterior1st_CemntBd,GarageCars,LandContour_HLS,,,,,,BsmtFinSF2
46,ExterQual,,GarageQual,,GarageType,Exterior1st_VinylSd,WoodDeckSF,BedroomAbvGr,YrSold,HouseStyle_2Story,,Exterior1st_BrkFace,SaleType_New,SaleType_WD,,SaleType_WD,BedroomAbvGr,Fireplaces,,,,,,ExterCond
47,Exterior2nd_VinylSd,,Exterior1st_MetalSd,,MiscFeature_Shed,Exterior2nd_VinylSd,BsmtQual,SaleCondition,LandContour_Low,LotConfig_Inside,,ExterQual,Foundation_CBlock,FireplaceQu,,Exterior2nd_Brk Cmn,LandContour_Lvl,BedroomAbvGr,,,,,,Alley
48,GarageCars,,BsmtFinType1,,LandContour_Low,BsmtFinType1,BedroomAbvGr,GarageCond,Electrical_FuseF,FullBath,,Exterior1st_Wd Sdng,SaleCondition,Foundation_CBlock,,Exterior1st_BrkComm,Exterior1st_Wd Sdng,HouseStyle_1Story,,,,,,YearRemodAdd
49,MSSubClass,,RoofStyle_Gambrel,,Functional,LotConfig_FR2,GarageQual,ExterCond,GarageYrBlt,Exterior1st_VinylSd,,Foundation_Slab,ExterCond,LotConfig_Inside,,Exterior1st_Wd Sdng,BsmtFullBath,GarageFinish,,,,,,ExterQual
50,HouseStyle_SFoyer,,TotRmsAbvGrd,,GarageYrBlt,BsmtFullBath,Exterior1st_MetalSd,MasVnrArea,BsmtCond,GarageCars,,EnclosedPorch,MSSubClass,HouseStyle_2.5Unf,,Exterior2nd_AsphShn,LotShape,,,,,,,
51,SaleType_ConLw,,MSSubClass,,SaleType_New,OverallCond,MasVnrType_None,RoofStyle_Hip,Electrical_SBrkr,MiscFeature_Shed,,Foundation_CBlock,Exterior2nd_Plywood,Alley,,GarageCond,HalfBath,,,,,,,
52,HeatingQC,,BsmtFullBath,,OverallCond,MSZoning,EnclosedPorch,Exterior1st_Wd Sdng,Exterior2nd_MetalSd,GarageYrBlt,,BsmtQual,Exterior2nd_MetalSd,RoofStyle_Gambrel,,MiscVal,Heating_GasW,,,,,,,
